total_bill,size,sex,smoker,day,time
26.41,2,Female,No,Sat,Dinner
16.4,2,Female,Yes,Thur,Lunch
21.5,4,Male,No,Sun,Dinner
12.6,2,Male,Yes,Sat,Dinner
19.81,2,Female,Yes,Thur,Lunch
22.82,3,Male,No,Thur,Lunch
16.93,3,Female,No,Sat,Dinner
25.0,4,Female,No,Sun,Dinner
22.12,2,Female,Yes,Sat,Dinner
10.34,3,Male,No,Sun,Dinner
34.81,4,Female,No,Sun,Dinner
7.51,2,Male,No,Thur,Lunch
19.08,2,Male,No,Thur,Lunch
13.13,2,Male,No,Sun,Dinner
22.42,2,Female,Yes,Sat,Dinner
12.46,2,Male,No,Fri,Dinner
29.93,4,Male,No,Sun,Dinner
18.28,2,Male,No,Thur,Lunch
13.0,2,Female,Yes,Thur,Lunch
14.73,2,Female,No,Sat,Dinner
28.17,3,Female,Yes,Sat,Dinner
30.06,3,Male,Yes,Sat,Dinner
13.42,2,Female,No,Thur,Lunch
18.78,2,Female,No,Thur,Dinner
17.92,2,Male,No,Sat,Dinner
18.15,3,Female,Yes,Sun,Dinner
17.07,3,Female,No,Sat,Dinner
20.49,2,Male,Yes,Sat,Dinner
14.83,2,Female,No,Sun,Dinner
5.75,2,Female,Yes,Fri,Dinner
34.63,2,Male,Yes,Sun,Dinner
